,기준년월,광역시도명,광역시도코드,남성_유동인구_수,여성_유동인구_수
67,2022-10,세종특별자치시,535680,46809276.022632904,45742038.082750715
68,2022-10,울산광역시,1291584,121093898.7710088,102654379.7456352
69,2022-10,인천광역시,3228960,238708854.6727304,217901595.3175321
70,2022-11,광주광역시,2004480,181329970.9424314,180346885.162675
71,2022-11,대구광역시,2741040,303007921.72568977,301168209.15203696
72,2022-11,대전광역시,1706400,198715567.11066186,190532930.454396
73,2022-11,부산광역시,3837600,333431923.52508515,331761071.67603475
74,2022-11,세종특별자치시,518400,42975339.45983818,42571614.21942712
75,2022-11,울산광역시,1249920,116779948.1437659,98118438.57249786
76,2022-11,인천광역시,3124800,228935125.9385222,205506438.6818311
77,2022-12,광주광역시,2071296,190858550.92413393,188297604.87521395
78,2022-12,대구광역시,2831166,264412158.2069121,259351914.5473869
79,2022-12,대전광역시,1763280,202016224.04902348,192761559.79892617
80,2022-12,부산광역시,3965520,338110618.6277001,336499213.4397327
81,2022-12,세종특별자치시,535680,41157461.80412967,40782284.837751016
82,2022-12,울산광역시,1291584,117296820.24985582,98693259.50621635
83,2022-12,인천광역시,3228960,236991381.35438386,214502203.68631738
84,2023-01,광주광역시,2071296,185720948.2542258,182499785.49884143
85,2023-01,대구광역시,2832084,289649247.7116261,287232368.2564873
86,2023-01,대전광역시,1763280,188511990.28637815,180010281.19070268
87,2023-01,부산광역시,3965520,344955365.5470482,344263754.2893481
88,2023-01,세종특별자치시,535680,40284693.451833755,40166432.40993805
89,2023-01,울산광역시,1291584,120402300.38712263,102494697.88845724
90,2023-01,인천광역시,3228932,247479362.44183356,227620976.4200696
91,2023-02,광주광역시,1870848,182739063.22281465,181774347.34950057
92,2023-02,대구광역시,2558304,267289946.64152396,264867687.63790953
93,2023-02,대전광역시,1592640,187495613.8134275,180071175.41327435
94,2023-02,부산광역시,3581760,310044302.6187043,310738867.97677076
95,2023-02,세종특별자치시,483804,38203051.45147265,38139403.66158273
96,2023-02,울산광역시,1166592,109560516.73215969,91177185.3636784
97,2023-02,인천광역시,2916452,226072509.27833888,206366207.56286967
98,2023-03,광주광역시,2071296,196421626.7432119,195263789.80613768
99,2023-03,대구광역시,2832408,291517780.0187855,288018551.82372415
100,2023-03,대전광역시,1763280,206992053.05171672,197457953.1512809
101,2023-03,부산광역시,3965520,330860802.2387768,327731534.0282416
102,2023-03,세종특별자치시,535680,40090811.74950145,40152621.71405343
103,2023-03,울산광역시,1291584,115011720.42787324,95525472.28678922
104,2023-03,인천광역시,3228960,248542620.46043915,226425529.67087486
105,2023-04,광주광역시,2004480,186656866.65992156,184707189.60531616
106,2023-04,대구광역시,2741040,229638955.2002969,225597214.18037996
107,2023-04,대전광역시,1706400,195265533.1458286,186957327.2937471
108,2023-04,부산광역시,3837600,319522099.45859575,316539363.0235108
109,2023-04,세종특별자치시,518400,36643652.25187977,36378806.44454646
110,2023-04,울산광역시,1249920,109344835.44717015,91327314.68064483
111,2023-04,인천광역시,3124800,239434702.09898847,218073476.90940532
112,2023-05,광주광역시,2071296,185424935.67942345,184602827.25927725
113,2023-05,대구광역시,2832246,231272036.23505852,228086963.07776612
114,2023-05,대전광역시,1763280,199137089.0702113,191621079.05204803
115,2023-05,부산광역시,3965520,337805354.2762801,336247151.2812939
116,2023-05,세종특별자치시,535680,36795201.04887288,36625921.75316854
117,2023-05,울산광역시,1291584,116537058.05397084,97562317.77070509
118,2023-05,인천광역시,3228960,255148352.20187297,232925066.4629332
119,2023-06,광주광역시,2004480,172749501.16367263,171825103.8944767
120,2023-06,대구광역시,2741040,222165809.10847646,218452004.3837259
121,2023-06,대전광역시,1706400,189288513.4883187,182030961.15622783
122,2023-06,부산광역시,3837600,323934909.7696001,321495268.33498675
123,2023-06,세종특별자치시,518400,34848187.06765598,34823676.08834405
124,2023-06,울산광역시,1249920,112519637.60530907,92930712.20739758
125,2023-06,인천광역시,3124800,246261368.57364935,224582824.50113666
126,2023-07,광주광역시,2071296,156429867.50397435,153916426.17966887
127,2023-07,대구광역시,2832408,224858057.2296045,220867496.32065928
128,2023-07,대전광역시,1763280,188640288.7288746,181281081.05427158
129,2023-07,부산광역시,3965520,325765063.6425901,323434453.4570553
130,2023-07,세종특별자치시,535680,34930952.6187733,34813556.30628911
131,2023-07,울산광역시,1291584,113371314.492785,94941625.87151696
132,2023-07,인천광역시,3228960,248939302.58094415,225547685.7336614
133,2023-08,광주광역시,2071296,138033247.83499342,134129947.00844377
134,2023-08,대구광역시,2832408,207124876.6582183,200322539.8123001
135,2023-08,대전광역시,1763280,154738221.4174671,145071510.46239027
136,2023-08,부산광역시,3965520,304863295.27957344,297989917.4859584
137,2023-08,세종특별자치시,535680,31869716.65926563,31348447.064197376
138,2023-08,울산광역시,1291584,105514199.52021913,88490483.03372124
139,2023-08,인천광역시,3228960,263473419.89121425,239960180.6855858
140,2023-09,광주광역시,1937664,142294435.49201372,139217214.34333372
141,2023-09,대구광역시,2649672,208233632.5754029,202053520.17028946
142,2023-09,대전광역시,1649520,149413974.14812613,141274831.8833794
143,2023-09,부산광역시,3709680,302463879.51895577,296484429.8329128
144,2023-09,세종특별자치시,501120,33640686.0134518,32661182.44252827
