"대구광역시","재화와 서비스 순이출",-3422685,-6685121,-4051998,-7370051,-2.78,-4374434,-7715665,0.81,-2498181,-5587636,8.65,-4702414,-7571683,-8.48,-6207595,-8910862,-4.60,-6905182,-9531576,-2.47,-7698775,-10470954,-3.06,-7788072,-10587979,-0.08,-5736507,-7758639,9.48,-8125254,-10734666,-9.00,-8910039,-11598499,-1.98,-9782959,-12609892,-2.00,-10519807,-11478304,2.80,-8541166,-10134952,3.48,-10505686,-11130844,-1.94,-11524888,-10794346,0.87,-11173779,-10093703,1.64,-11987165,-11058425,-2.28,-12417234,-11377495,-0.71,-13146971,-13146971,-3.76,-13685308,-13775650,-1.21,-13376699,-13254990,0.98,-12774819,-12096721,2.13,-14971023,-13756563,-2.98,-16606955,-14742179,-1.68,-18572577,-14872754,-0.46,-21225027,-14738703,0.14
"대구광역시","통계상 불일치",142438,-298815,28937,-495004,-0.55,-46866,-530631,-0.02,-213564,-540848,-0.17,5042,-325971,0.82,-71280,-544774,-0.63,-106568,-409239,0.43,-130396,-448110,-0.08,15538,-224442,0.63,175034,-600440,-0.99,29471,-28896,1.50,75042,52515,0.21,59551,93046,0.10,90843,-133387,-0.54,-252368,-102484,0.06,199902,71090,0.39,306814,54580,-0.03,242930,-106081,-0.33,93005,-176318,-0.12,138690,-50670,0.27,175202,175202,0.46,478975,2179,-0.33,-22801,-28151,-0.04,-35504,-221591,-0.37,91517,-316689,-0.17,512810,-502097,-0.35,171972,-752549,-0.38,-1698,-1074789,-0.54
"인천광역시","지역내총생산에대한지출",22961684,38546919,25332474,40762864,5.75,28107431,43341199,6.33,26247812,37317452,-13.90,27803826,40446510,8.38,29954119,43019365,6.36,33441442,46255108,7.52,38463197,50972798,10.20,40605167,52157498,2.32,44384378,54987798,5.43,46063682,56922112,3.52,49105565,59522631,4.57,54061455,64675503,8.66,53700045,64033773,-0.99,56344673,63153061,-1.38,63266348,69301148,9.74,64417599,70536942,1.78,66408453,73129842,3.68,69398005,75073082,2.66,74611777,78694187,4.82,80137506,80137506,1.83,84663335,82257112,2.64,88547364,85791563,4.30,88735401,86426825,0.74,90040500,87963593,1.78,89615465,84907539,-3.47,98670502,90325899,6.38,104497088,95712639,5.96
"인천광역시","최종소비지출",13516525,25497096,15468268,27412880,4.42,17085262,28720897,2.91,16594026,26283510,-5.16,18881097,29131186,6.85,21628010,31830594,6.29,24028328,33696452,4.23,26545669,36020181,4.95,27265061,35928818,-0.18,28226563,36046203,0.22,30094665,37644880,2.82,32512342,39859192,3.84,35506908,42650780,4.64,38165513,43947792,2.00,39752609,44668223,1.17,42696359,47032978,3.74,45613498,48640983,2.31,47324070,49172286,0.77,48998345,50381698,1.75,51459877,52148485,2.48,53552498,53552498,1.86,56244247,55557045,2.50,59285029,57509643,2.33,62567716,59784837,2.65,65539764,62309790,2.98,65229612,61227616,-1.26,69755577,63812592,3.07,76229060,67287912,3.85
"인천광역시","총자본형성",9881043,15928564,9760141,15280898,-1.75,9949087,14676697,-1.52,7942293,11579996,-7.47,8320183,13074963,3.91,9708057,15166935,4.79,9682111,14406368,-1.63,10921875,15811120,2.82,12305939,16501902,1.24,13343534,17185259,1.26,14954107,18110668,1.62,16306930,19523471,2.53,18682976,21607683,3.55,19859184,21093455,-0.82,21992440,22853002,3.08,24922447,25556289,4.62,26810753,26941902,2.14,24090728,24135826,-4.33,23786806,23729440,-0.61,24616075,24474202,1.08,24685343,24685343,0.28,27732396,27525961,3.54,29251906,28367641,1.00,29538329,28055358,-0.36,30435193,28168293,0.13,33908545,31177962,3.61,39103140,34076653,3.52,43020146,35101228,1.19
"인천광역시","재화와 서비스 순이출",-755700,-2756746,-65946,-1707092,4.18,1014055,-129367,5.49,1693880,-421240,-1.59,447788,-1163096,-2.48,-1524763,-2371057,-3.07,-375148,-718073,5.57,964295,-464887,1.12,817637,160471,1.41,2405656,1786676,3.40,880674,810416,-1.77,137952,-124018,-1.74,-268889,165650,0.59,-4571989,-888492,-1.56,-5250508,-4013557,-5.48,-4558526,-3009024,1.30,-8287612,-4435771,-2.60,-5389909,-102040,7.36,-3665662,875152,1.55,-1548444,1985417,1.34,1741160,1741160,-0.67,2050450,-1013577,-3.44,-217540,-884844,0.23,-3237506,-1459496,-0.65,-5749484,-2131743,-0.70,-7551545,-7130359,-5.63,-9099886,-8207855,-1.26,-14775557,-8158301,0.06
"인천광역시","통계상 불일치",319816,814924,170011,409534,-1.10,59027,192126,-0.56,17613,316033,0.32,154758,380321,0.11,142815,-274108,-1.65,106151,-595532,-0.66,31358,-59981,1.30,216530,-138501,-0.15,408625,130049,0.55,134236,584212,0.84,148341,564542,-0.07,140460,531052,-0.11,247337,133947,-0.61,-149868,45675,-0.14,206068,119396,0.08,280960,75478,-0.06,383564,-18563,-0.12,278516,-52901,-0.03,84269,-123267,-0.07,158505,158505,0.36,-1363758,187683,0.04,227969,839044,0.73,-133138,82775,-0.89,-184973,-458152,-0.63,-1971147,-619717,-0.19,-1088329,338292,1.05,23439,1186518,0.86
"광주광역시","지역내총생산에대한지출",9881183,16417691,11175427,17978636,9.51,12098989,18559392,3.23,11478764,16743576,-9.78,12284576,18092047,8.05,13633077,19742330,9.12,14959494,20828849,5.50,16632710,22420270,7.64,17281413,22585186,0.74,18380958,23198230,2.71,20096118,24953345,7.57,21635408,26193910,4.97,23470470,27392264,4.57,24213929,27791206,1.46,25191120,27180608,-2.20,27882311,30457831,12.06,28678421,31011787,1.82,29773635,31650181,2.06,31263021,32859385,3.82,33016736,34169569,3.99,34845589,34845589,1.98,36819006,35933462,3.12,37743917,36384616,1.26,39805406,38216077,5.03,41519553,39624032,3.68,42068384,39530642,-0.24,43742580,41257137,4.37,45220109,41939597,1.65
"광주광역시","최종소비지출",7718927,14379086,8919287,15604940,6.66,9840465,16317294,3.64,9370588,14602683,-8.55,10797395,16444645,10.30,12259383,17807772,7.29,13595514,18930052,5.67,15058056,20351705,6.83,15659327,20545268,0.86,16237888,20542114,-0.01,17311547,21345074,3.45,18547664,22382615,4.19,19966956,23584383,4.60,21309003,24171731,2.12,22465030,24856497,2.49,24107581,26174933,4.73,25742783,27012361,2.77,26652793,27528814,1.72,27815404,28563942,3.37,28765810,29046629,1.50,29791438,29791438,2.23,31031130,30650548,2.47,32653948,31640901,2.72,34374970,32949972,3.58,35705478,34024082,2.82,34929907,32886832,-2.87,37055231,34153490,3.20,39780533,35229291,2.67
"광주광역시","총자본형성",3929248,6996691,4035508,6983804,-0.07,3890768,6227663,-3.91,2754593,4274255,-10.09,3056973,4705016,2.42,4497156,6825221,11.21,4042625,5921594,-4.37,4132698,5920708,-0.00,4858141,6544279,2.62,5530983,7140176,2.56,5987549,7579706,1.85,7113904,8884771,5.13,7269821,8881853,-0.01,7873691,9008186,0.44,6582258,7054931,-7.05,7086148,7371819,1.17,7686117,7760900,1.34,8203200,8256807,1.71,8740523,8747864,1.64,9007858,8970565,0.71,8662748,8662748,-0.94,9155676,9089464,1.22,9899272,9613938,1.43,10479922,9958115,0.94,10961093,10149882,0.51,12054538,11069825,2.39,13321591,11606321,1.39,13376175,10962201,-1.69
"광주광역시","재화와 서비스 순이출",-1845540,-4388690,-1798355,-3930976,3.72,-1605027,-3371957,3.90,-506018,-1868067,8.29,-1569072,-2937158,-5.98,-3084889,-4441872,-8.40,-2623659,-3726465,3.94,-2470508,-3536737,1.09,-3236293,-4293114,-3.36,-3484560,-4073224,1.03,-3202580,-3840821,0.69,-4053765,-5001375,-4.68,-3780313,-5030514,-0.18,-5003510,-5241358,-0.66,-3654030,-4630495,2.21,-3452025,-2990066,5.85,-5028154,-3586716,-2.32,-5276888,-4054719,-1.07,-5356336,-4305823,-1.01,-4824220,-3814030,1.54,-3683795,-3683795,0.26,-3649859,-3767629,-0.24,-4745287,-4838231,-2.85,-4950704,-4470767,0.98,-5143751,-4290849,0.53,-5214482,-4014860,0.65,-6663617,-3830311,0.21,-7943402,-3395592,0.98
"광주광역시","통계상 불일치",78548,-253055,18987,-423603,-0.80,-27217,-512928,-0.40,-140399,-361100,0.56,-720,-150335,1.32,-38573,-342963,-0.98,-54986,-306815,0.26,-87536,-381638,-0.27,238,-243894,0.62,96647,-448212,-0.87,-398,-118689,1.57,27605,-40519,0.34,14006,-2097,0.16,34745,-122924,-0.44,-202138,-76027,0.15,140607,24272,0.31,277675,32452,0.03,194530,-67584,-0.30,63430,-132493,-0.17,67288,-64754,0.23,75198,75198,0.42,282059,-38921,-0.33,-64016,-60688,-0.05,-98782,-229457,-0.46,-3267,-297759,-0.17,298421,-456691,-0.40,29375,-663931,-0.43,6803,-803485,-0.31
"대전광역시","지역내총생산에대한지출",10509512,18350280,11799397,19742504,7.59,13031225,20894508,5.84,13013119,19922027,-4.65,13725526,21139402,6.11,15340760,23066261,9.12,16381083,23813574,3.24,18362849,25497366,7.07,19968379,26757005,4.94,21317799,27540951,2.93,22076296,28061744,1.89,23191548,29074607,3.61,24669345,29906786,2.86,26159588,30273625,1.23,27928016,31068315,2.63,30224696,33247905,7.02,31679831,34446444,3.60,32877411,34977219,1.54,33675454,35375467,1.14,34930512,36081650,2.00,37162614,37162614,3.00,39335023,38456557,3.48,40537224,38772485,0.82,41308348,39135729,0.94,43092218,40684092,3.96,44393136,41208249,1.29,46716590,42500095,3.13,49565822,44395434,4.46
"대전광역시","최종소비지출",7592563,13962232,8819940,15338369,7.12,9766446,16134321,3.88,9684807,15025104,-5.15,11105340,16867199,9.12,12658227,18316030,6.95,14149995,19797430,6.67,15855413,21357281,6.81,16661457,21767730,1.66,17688783,22336210,2.18,19152744,23583276,4.63,20607002,24799159,4.47,22378138,26340553,5.52,24046776,27123642,2.70,25073907,27649308,1.78,26795071,28982726,4.33,28628713,29833550,2.60,30067432,30804040,2.94,30363928,31025484,0.66,31304545,31586405,1.63,32213284,32213284,1.78,33224557,32845294,1.70,34838141,33828877,2.53,36269669,34766156,2.38,37717204,35975354,3.05,37314093,35162412,-1.98,39875603,36595657,3.43,43288220,38322786,4.03
"대전광역시","총자본형성",5079367,8550947,5496778,9134797,3.30,5828030,9167625,0.17,4901127,7695413,-7.18,5104614,7954616,1.27,5743084,8812332,4.01,5569288,8276080,-2.28,6002549,8621897,1.42,7275860,9975088,5.13,7498630,9779618,-0.71,8040170,10261314,1.73,8190088,10215135,-0.16,8028866,9824838,-1.35,8495594,9708231,-0.39,9110189,9974776,0.89,10833339,11554538,5.17,11132957,11450621,-0.32,10625662,10833266,-1.89,10608568,10689463,-0.43,10738112,10765782,0.22,11436159,11436159,1.91,12173007,12045308,1.64,12559101,12142603,0.25,12735789,12131046,-0.03,13753634,12803275,1.71,15703178,14496018,4.22,16509766,14366671,-0.32,17506169,14455585,0.22
"대전광역시","재화와 서비스 순이출",-2291350,-3855991,-2581828,-4224536,-2.05,-2571261,-3965877,2.10,-1471746,-2835681,6.66,-2527805,-3744472,-5.67,-3060928,-3983730,-0.84,-3330849,-4247170,-1.38,-3441098,-4397383,-0.70,-4013125,-4926826,-2.37,-4026736,-4403911,2.53,-5144934,-5704819,-5.72,-5654403,-5932114,-0.86,-5761289,-6319590,-1.79,-6427751,-6464519,-0.61,-6060928,-6512527,-0.19,-7608723,-7315173,-2.67,-8430675,-6888069,1.38,-8060037,-6546865,0.81,-7395115,-6297025,1.06,-7220179,-6292933,-0.13,-6612207,-6612207,-1.12,-6408199,-6436495,0.47,-6815647,-7181714,-1.88,-7607828,-7532750,-0.91,-8381961,-7751880,-0.53,-8978101,-7932562,-0.45,-9753017,-7637889,0.55,-11235827,-7168839,0.64
"대전광역시","통계상 불일치",128932,-205912,64507,-385871,-0.78,8010,-477806,-0.31,-101069,-237461,1.02,43377,34316,1.38,377,-180565,-1.00,-7351,-134201,0.22,-54015,-252522,-0.46,44187,-127051,0.52,157122,-418861,-1.06,28316,-78719,1.25,48861,-37543,0.16,23630,100225,0.48,44969,-39007,-0.47,-195152,2222,0.14,205009,77484,0.19,348836,54284,-0.05,244354,-58414,-0.31,98073,-115864,-0.15,108034,-22756,0.27,125378,125378,0.42,345658,2450,-0.33,-44371,-30083,-0.08,-89282,-224808,-0.50,3341,-337044,-0.27,353966,-546133,-0.50,84238,-794077,-0.52,7260,-1017369,-0.43
"울산광역시","지역내총생산에대한지출",-,-,-,-,-,-,-,-,26663028,43126637,-,28291628,47763922,10.75,30567185,49333661,3.29,32555153,50423452,2.21,36362374,55068266,9.21,36428846,54100049,-1.76,43743607,59706880,10.36,43941774,61626834,3.22,45452776,62869561,2.02,49982207,65950587,4.90,53267149,64401338,-2.35,51193872,63392764,-1.57,61089898,66254235,4.51,68676959,71517190,7.94,70001581,71957705,0.62,71266373,72322408,0.51,70134740,72408971,0.12,72854409,72854409,0.62,74660841,73477668,0.86,75750070,72968962,-0.69,73647537,71344390,-2.23,74654628,72024599,0.95,69363394,67136435,-6.79,77973813,69523278,3.56,86255074,69204235,-0.46
"울산광역시","최종소비지출",-,-,-,-,-,-,-,-,6802445,10718714,-,7913032,12136670,3.38,8921665,13089502,2.20,9866228,13851383,1.70,11052474,14992630,2.50,11444816,15072193,0.16,12098569,15422935,0.73,13271170,16403932,1.76,14278581,17253336,1.56,15327033,18124917,1.59,16381607,18563508,0.74,17079410,18949912,0.64,18108501,19705184,1.33,19343553,20337040,0.95,20607047,21250514,1.27,21532580,22038509,1.09,22581878,22811366,1.06,23900098,23900098,1.54,24753071,24467553,0.78,25982250,25248572,1.06,26431063,25442048,0.26,27344317,26293377,1.20,26788910,25502157,-1.10,28617746,26478379,1.48,30913215,27595018,1.55
