,년도,월,시도별,저소득,중소득,고소득
82,2021,3,제주,41.065891472868216,694.9767441860465,75.37790697674419
83,2021,3,충남,31.117954911433173,481.49838969404186,67.8828502415459
84,2021,3,충북,30.454248366013072,510.2276688453159,62.35974945533769
85,2021,6,강원,24.9651033563014,367.734385418982,45.71527006001334
86,2021,6,경기,60.38340160825368,1123.2328933394022,181.33447124867243
87,2021,6,경남,30.966520907351736,513.2154960371686,69.33697731620661
88,2021,6,경북,23.8339841289835,364.55611537977074,46.99269429399169
89,2021,6,광주,47.96137152777778,719.2291666666666,97.40668402777777
90,2021,6,대구,57.1838061465721,836.7411347517731,97.48995271867612
91,2021,6,대전,61.354957805907176,920.5073839662447,144.01740506329114
92,2021,6,부산,52.58475609756098,812.2304878048781,96.77784552845529
93,2021,6,서울,66.11,1320.6985294117646,242.98009803921568
